Train–test;Train–test.1;Validation
Pryntex-03-Ag-10_B;Botlek-03-Ag-31_B;762-27-Ag-194_B
Pryntex-03-Ag-11_B;Botlek-03-Ag-32_B;762-27-Ag-196_A
Pryntex-03-Ag-12_C;Botlek-03-Ag-33_B;762-27-Ag-197_A
Pryntex-03-Ag-13_B;Botlek-03-Ag-34_B;762-27-Ag-198_B
Pryntex-03-Ag-14_B;Botlek-03-Ag-35_C;762-27-Ag-199_B
Pryntex-03-Ag-15_B;Botlek-03-Ag-36_D;762-27-Ag-2_B
Pryntex-03-Ag-16_B;Botlek-03-Ag-37_B;762-27-Ag-20_B
Pryntex-03-Ag-17_C;Botlek-03-Ag-38_C;762-27-Ag-21_B
Pryntex-03-Ag-18_B;Botlek-03-Ag-39_D;762-27-Ag-22_B
Pryntex-03-Ag-19_B;Botlek-03-Ag-4_D;762-27-Ag-23_A
Pryntex-03-Ag-20_B;Botlek-03-Ag-40_B;762-27-Ag-24_C
Pryntex-03-Ag-21_B;Botlek-03-Ag-41_B;762-27-Ag-25_A
Pryntex-03-Ag-22_B;Botlek-03-Ag-42_B;762-27-Ag-26_C
Pryntex-03-Ag-23_B;Botlek-03-Ag-44_B;762-27-Ag-27_B
Pryntex-03-Ag-24_D;Botlek-03-Ag-45_C;762-27-Ag-28_B
Pryntex-03-Ag-25_B;Botlek-03-Ag-46_C;762-27-Ag-29_D
Pryntex-03-Ag-26_B;Botlek-03-Ag-5_C;762-27-Ag-3_B
Pryntex-03-Ag-27_D;Botlek-03-Ag-6_C;762-27-Ag-30_D
Pryntex-03-Ag-28_B;Botlek-03-Ag-7_C;762-27-Ag-31_B
Pryntex-03-Ag-30_B;Botlek-03-Ag-8_A;762-27-Ag-32_B
Pryntex-03-Ag-31_D;Botlek-03-Ag-9_B;762-27-Ag-33_B
Pryntex-03-Ag-32_B;Botlek-04-Ag-10_C;762-27-Ag-34_B
Pryntex-03-Ag-33_B;Botlek-04-Ag-11_B;762-27-Ag-35_B
Pryntex-03-Ag-35_A;Botlek-04-Ag-12_B;762-27-Ag-36_D
Pryntex-03-Ag-36_B;Botlek-04-Ag-13_D;762-27-Ag-37_B
Pryntex-03-Ag-37_B;Botlek-04-Ag-14_B;762-27-Ag-38_C
Pryntex-03-Ag-38_B;Botlek-04-Ag-15_D;762-27-Ag-39_C
Pryntex-03-Ag-39_B;Botlek-04-Ag-16_C;762-27-Ag-4_B
Pryntex-03-Ag-40_D;Botlek-04-Ag-17_C;762-27-Ag-40_B
Pryntex-03-Ag-41_B;Botlek-04-Ag-18_B;762-27-Ag-41_A
Pryntex-03-Ag-42_B;Botlek-04-Ag-19_D;762-27-Ag-42_D
Pryntex-03-Ag-43_B;Botlek-04-Ag-2_C;762-27-Ag-43_B
Pryntex-03-Ag-44_B;Botlek-04-Ag-20_D;762-27-Ag-44_B
Pryntex-03-Ag-45_B;Botlek-04-Ag-21_B;762-27-Ag-45_D
Pryntex-04-Ag-02_B;Botlek-04-Ag-22_A;762-27-Ag-46_B
Pryntex-04-Ag-03_B;Botlek-04-Ag-23_B;762-27-Ag-47_D
Pryntex-04-Ag-04_B;Botlek-04-Ag-24_B;762-27-Ag-48_B
Pryntex-04-Ag-05_C;Botlek-04-Ag-25_B;762-27-Ag-49_B
Pryntex-04-Ag-06_D;Botlek-04-Ag-26_C;762-27-Ag-5_B
Pryntex-04-Ag-07_B;Botlek-04-Ag-27_A;762-27-Ag-51_B
Pryntex-04-Ag-08_C;Botlek-04-Ag-28_B;762-27-Ag-52_B
Pryntex-04-Ag-09_B;Botlek-04-Ag-29_B;762-27-Ag-53_A
Pryntex-04-Ag-10_B;Botlek-04-Ag-3_A;762-27-Ag-54_B
Pryntex-04-Ag-11_D;Botlek-04-Ag-30_D;762-27-Ag-55_B
Pryntex-04-Ag-12_B;Botlek-04-Ag-31_B;762-27-Ag-56_D
Pryntex-04-Ag-13_D;Botlek-04-Ag-32_B;762-27-Ag-57_B
Pryntex-04-Ag-14_B;Botlek-04-Ag-33_C;762-27-Ag-58_B
Pryntex-04-Ag-15_B;Botlek-04-Ag-34_B;762-27-Ag-59_B
Pryntex-04-Ag-16_B;Botlek-04-Ag-35_D;762-27-Ag-6_B
Pryntex-04-Ag-17_B;Botlek-04-Ag-36_B;762-27-Ag-60_B
Pryntex-04-Ag-19_D;Botlek-04-Ag-37_D;762-27-Ag-61_B
Pryntex-04-Ag-20_B;Botlek-04-Ag-38_D;762-27-Ag-62_C
Pryntex-04-Ag-21_C;Botlek-04-Ag-39_D;762-27-Ag-63_D
Pryntex-04-Ag-22_B;Botlek-04-Ag-4_D;762-27-Ag-64_B
Pryntex-04-Ag-23_B;Botlek-04-Ag-40_D;762-27-Ag-65_C
Pryntex-04-Ag-24_B;Botlek-04-Ag-41_B;762-27-Ag-66_D
Pryntex-04-Ag-25_B;Botlek-04-Ag-43_B;762-27-Ag-67_B
Pryntex-04-Ag-26_C;Botlek-04-Ag-44_C;762-27-Ag-68_B
Pryntex-04-Ag-27_B;Botlek-04-Ag-45_D;762-27-Ag-69_D
Pryntex-04-Ag-28_B;Botlek-04-Ag-46_B;762-27-Ag-7_D
Pryntex-04-Ag-29_B;Botlek-04-Ag-47_C;762-27-Ag-70_B
Pryntex-04-Ag-30_B;Botlek-04-Ag-48_D;762-27-Ag-72_D
Pryntex-04-Ag-31_B;Botlek-04-Ag-49_D;762-27-Ag-73_D
Pryntex-04-Ag-33_B;Botlek-04-Ag-5_B;762-27-Ag-74_B
Pryntex-04-Ag-34_B;Botlek-04-Ag-50_B;762-27-Ag-76_D
Pryntex-04-Ag-35_B;Botlek-04-Ag-51_B;762-27-Ag-77_A
Pryntex-04-Ag-36_B;Botlek-04-Ag-52_B;762-27-Ag-78_A
Pryntex-04-Ag-37_B;Botlek-04-Ag-53_B;762-27-Ag-79_C
Pryntex-04-Ag-38_B;Botlek-04-Ag-54_B;762-27-Ag-8_A
Pryntex-04-Ag-39_B;Botlek-04-Ag-56_D;762-27-Ag-80_B
Pryntex-04-Ag-40_B;Botlek-04-Ag-57_D;762-27-Ag-81_B
Pryntex-04-Ag-41_B;Botlek-04-Ag-58_B;762-27-Ag-82_A
Pryntex-04-Ag-42_B;Botlek-04-Ag-6_C;762-27-Ag-83_A
Pryntex-04-Ag-43_B;Botlek-04-Ag-60_A;762-27-Ag-84_B
Pryntex-04-Ag-44_B;Botlek-04-Ag-61_B;762-27-Ag-85_B
Pryntex-04-Ag-45_B;Botlek-04-Ag-7_B;762-27-Ag-86_B
Pryntex-04-Ag-46_B;Botlek-04-Ag-8_C;762-27-Ag-87_B
Pryntex-04-Ag-47_B;Botlek-04-Ag-9_B;762-27-Ag-88_D
Pryntex-04-Ag-48_B;Botlek-05-Ag-10_B;762-27-Ag-89_D
Pryntex-04-Ag-49_B;Botlek-05-Ag-11_B;762-27-Ag-9_D
Pryntex-04-Ag-50_B;Botlek-05-Ag-12_B;762-27-Ag-90_B
Pryntex-04-Ag-51_C;Botlek-05-Ag-14_B;762-27-Ag-91_B
Pryntex-04-Ag-52_B;Botlek-05-Ag-15_D;762-27-Ag-92_D
Pryntex-04-Ag-53_B;Botlek-05-Ag-16_B;762-27-Ag-93_B
Pryntex-04-Ag-54_B;Botlek-05-Ag-17_D;762-27-Ag-94_B
Pryntex-04-Ag-55_B;Botlek-05-Ag-18_D;762-27-Ag-95_B
Pryntex-04-Ag-57_B;Botlek-05-Ag-19_C;762-27-Ag-96_B
Pryntex-05-Ag-02_B;Botlek-05-Ag-2_C;762-27-Ag-97_D
Pryntex-05-Ag-03_B;Botlek-05-Ag-20_B;762-27-Ag-98_B
Pryntex-05-Ag-04_B;Botlek-05-Ag-21_D;762-27-Ag-99_B
Pryntex-05-Ag-05_B;Botlek-05-Ag-22_B;762-28-Ag-10_D
Pryntex-05-Ag-06_B;Botlek-05-Ag-23_B;762-28-Ag-100_D
Pryntex-05-Ag-07_B;Botlek-05-Ag-24_C;762-28-Ag-101_D
Pryntex-05-Ag-08_B;Botlek-05-Ag-25_D;762-28-Ag-102_D
Pryntex-05-Ag-09_B;Botlek-05-Ag-27_B;762-28-Ag-103_B
Pryntex-05-Ag-10_B;Botlek-05-Ag-28_D;762-28-Ag-104_B
Pryntex-05-Ag-11_B;Botlek-05-Ag-29_B;762-28-Ag-105_D
Pryntex-05-Ag-12_B;Botlek-05-Ag-3_D;762-28-Ag-106_D
Pryntex-05-Ag-13_B;Botlek-05-Ag-31_D;762-28-Ag-107_A
Pryntex-05-Ag-14_B;Botlek-05-Ag-32_D;762-28-Ag-108_B
Pryntex-05-Ag-15_C;Botlek-05-Ag-33_D;762-28-Ag-109_B
Pryntex-05-Ag-16_B;Botlek-05-Ag-35_B;762-28-Ag-11_B
Pryntex-05-Ag-17_B;Botlek-05-Ag-36_D;762-28-Ag-110_B
Pryntex-05-Ag-18_A;Botlek-05-Ag-39_B;762-28-Ag-111_C
Pryntex-05-Ag-19_C;Botlek-05-Ag-4_C;762-28-Ag-112_B
Pryntex-05-Ag-20_B;Botlek-05-Ag-40_B;762-28-Ag-113_B
Pryntex-05-Ag-21_B;Botlek-05-Ag-41_C;762-28-Ag-114_B
Pryntex-05-Ag-22_B;Botlek-05-Ag-43_B;762-28-Ag-115_B
Pryntex-05-Ag-23_B;Botlek-05-Ag-5_B;762-28-Ag-116_C
Pryntex-05-Ag-24_B;Botlek-05-Ag-6_B;762-28-Ag-117_C
Pryntex-05-Ag-25_B;Botlek-05-Ag-7_D;762-28-Ag-118_B
Pryntex-05-Ag-26_B;Botlek-05-Ag-8_B;762-28-Ag-119_B
Pryntex-05-Ag-27_B;Botlek-05-Ag-9_B;762-28-Ag-12_A
Pryntex-05-Ag-28_B;Botlek-06-Ag-10_B;762-28-Ag-120_B
Pryntex-05-Ag-29_B;Botlek-06-Ag-11_D;762-28-Ag-121_D
Pryntex-05-Ag-30_B;Botlek-06-Ag-12_B;762-28-Ag-122_B
Pryntex-05-Ag-31_B;Botlek-06-Ag-13_D;762-28-Ag-123_B
Pryntex-05-Ag-32_B;Botlek-06-Ag-14_B;762-28-Ag-124_B
Pryntex-05-Ag-33_D;Botlek-06-Ag-15_B;762-28-Ag-125_D
Pryntex-05-Ag-35_B;Botlek-06-Ag-16_C;762-28-Ag-126_D
Pryntex-05-Ag-36_B;Botlek-06-Ag-17_B;762-28-Ag-127_B
Pryntex-05-Ag-37_B;Botlek-06-Ag-18_B;762-28-Ag-128_B
Pryntex-05-Ag-38_B;Botlek-06-Ag-19_B;762-28-Ag-129_B
Pryntex-05-Ag-39_D;Botlek-06-Ag-2_B;762-28-Ag-13_B
Pryntex-05-Ag-40_B;Botlek-06-Ag-20_B;762-28-Ag-130_D
Pryntex-05-Ag-41_B;Botlek-06-Ag-21_A;762-28-Ag-131_B
Pryntex-05-Ag-42_B;Botlek-06-Ag-22_D;762-28-Ag-133_B
Pryntex-05-Ag-43_B;Botlek-06-Ag-23_B;762-28-Ag-134_B
Pryntex-05-Ag-44_C;Botlek-06-Ag-24_B;762-28-Ag-135_B
Pryntex-05-Ag-45_B;Botlek-06-Ag-25_D;762-28-Ag-136_B
Pryntex-05-Ag-46_B;Botlek-06-Ag-26_D;762-28-Ag-137_D
Pryntex-05-Ag-47_D;Botlek-06-Ag-27_B;762-28-Ag-138_B
Pryntex-05-Ag-48_B;Botlek-06-Ag-28_B;762-28-Ag-139_B
Pryntex-05-Ag-49_B;Botlek-06-Ag-29_B;762-28-Ag-14_B
Pryntex-05-Ag-50_B;Botlek-06-Ag-3_B;762-28-Ag-140_B
Pryntex-05-Ag-51_B;Botlek-06-Ag-30_B;762-28-Ag-141_D
Pryntex-05-Ag-52_D;Botlek-06-Ag-31_D;762-28-Ag-142_D
Pryntex-05-Ag-53_B;Botlek-06-Ag-32_D;762-28-Ag-143_B
Pryntex-05-Ag-54_B;Botlek-06-Ag-33_D;762-28-Ag-144_D
Pryntex-05-Ag-55_B;Botlek-06-Ag-34_B;762-28-Ag-145_B
Pryntex-05-Ag-56_B;Botlek-06-Ag-35_B;762-28-Ag-146_D
Pryntex-05-Ag-57_B;Botlek-06-Ag-36_B;762-28-Ag-147_B
Pryntex-05-Ag-58_B;Botlek-06-Ag-38_B;762-28-Ag-148_B
Pryntex-05-Ag-59_D;Botlek-06-Ag-39_B;762-28-Ag-149_B
Pryntex-05-Ag-60_C;Botlek-06-Ag-4_B;762-28-Ag-15_B
Pryntex-05-Ag-61_D;Botlek-06-Ag-40_B;762-28-Ag-150_D
Pryntex-05-Ag-62_C;Botlek-06-Ag-5_B;762-28-Ag-151_B
Pryntex-05-Ag-63_B;Botlek-06-Ag-6_B;762-28-Ag-152_B
Pryntex-05-Ag-64_B;Botlek-06-Ag-7_D;762-28-Ag-153_B
Pryntex-05-Ag-65_B;Botlek-06-Ag-8_D;762-28-Ag-154_B
Pryntex-05-Ag-66_B;Botlek-06-Ag-9_B;762-28-Ag-155_B
Pryntex-05-Ag-67_B;Botlek-07-Ag-10_D;762-28-Ag-156_B
Pryntex-05-Ag-68_B;Botlek-07-Ag-11_D;762-28-Ag-157_B
Pryntex-05-Ag-69_B;Botlek-07-Ag-12_B;762-28-Ag-158_A
Pryntex-05-Ag-70_B;Botlek-07-Ag-13_B;762-28-Ag-159_B
Pryntex-05-Ag-71_D;Botlek-07-Ag-14_B;762-28-Ag-16_A
Pryntex-05-Ag-72_C;Botlek-07-Ag-15_B;762-28-Ag-160_A
Pryntex-05-Ag-73_B;Botlek-07-Ag-16_D;762-28-Ag-161_A
Pryntex-05-Ag-74_B;Botlek-07-Ag-17_D;762-28-Ag-162_A
Pryntex-05-Ag-75_B;Botlek-07-Ag-19_B;762-28-Ag-163_C
Pryntex-05-Ag-77_B;Botlek-07-Ag-2_D;762-28-Ag-164_B
Pryntex-05-Ag-78_B;Botlek-07-Ag-20_B;762-28-Ag-165_C
Pryntex-05-Ag-80_C;Botlek-07-Ag-21_B;762-28-Ag-166_D
Pryntex-05-Ag-81_B;Botlek-07-Ag-22_B;762-28-Ag-167_D
Pryntex-06-Ag-01_B;Botlek-07-Ag-23_B;762-28-Ag-168_B
Pryntex-06-Ag-02_B;Botlek-07-Ag-24_B;762-28-Ag-169_D
Pryntex-06-Ag-03_B;Botlek-07-Ag-25_D;762-28-Ag-17_B
Pryntex-06-Ag-04_A;Botlek-07-Ag-26_B;762-28-Ag-170_B
Pryntex-06-Ag-05_D;Botlek-07-Ag-27_A;762-28-Ag-171_B
Pryntex-06-Ag-06_B;Botlek-07-Ag-28_A;762-28-Ag-172_D
Pryntex-06-Ag-07_B;Botlek-07-Ag-29_B;762-28-Ag-173_B
Pryntex-06-Ag-08_B;Botlek-07-Ag-3_D;762-28-Ag-174_B
Pryntex-06-Ag-09_D;Botlek-07-Ag-30_D;762-28-Ag-175_D
Pryntex-06-Ag-10_B;Botlek-07-Ag-31_B;762-28-Ag-176_D
Pryntex-06-Ag-11_B;Botlek-07-Ag-32_B;762-28-Ag-177_B
Pryntex-06-Ag-12_B;Botlek-07-Ag-34_B;762-28-Ag-178_B
Pryntex-06-Ag-13_B;Botlek-07-Ag-35_B;762-28-Ag-179_B
Pryntex-06-Ag-14_C;Botlek-07-Ag-4_D;762-28-Ag-18_B
Pryntex-06-Ag-15_B;Botlek-07-Ag-7_D;762-28-Ag-180_B
Pryntex-06-Ag-16_B;Botlek-07-Ag-9_B;762-28-Ag-181_B
Pryntex-06-Ag-17_B;Botlek-08-Ag-10_B;762-28-Ag-182_C
Pryntex-06-Ag-18_B;Botlek-08-Ag-11_B;762-28-Ag-183_C
Pryntex-06-Ag-19_B;Botlek-08-Ag-12_B;762-28-Ag-184_B
Pryntex-06-Ag-20_B;Botlek-08-Ag-13_D;762-28-Ag-185_B
Pryntex-06-Ag-21_B;Botlek-08-Ag-14_B;762-28-Ag-186_A
Pryntex-06-Ag-22_B;Botlek-08-Ag-16_B;762-28-Ag-187_B
Pryntex-06-Ag-23_B;Botlek-08-Ag-17_B;762-28-Ag-188_D
Pryntex-06-Ag-24_B;Botlek-08-Ag-19_B;762-28-Ag-189_D
Pryntex-06-Ag-26_B;Botlek-08-Ag-20_D;762-28-Ag-19_B
Pryntex-06-Ag-27_B;Botlek-08-Ag-21_C;762-28-Ag-190_B
Pryntex-06-Ag-28_B;Botlek-08-Ag-22_B;762-28-Ag-191_B
Pryntex-06-Ag-29_B;Botlek-08-Ag-23_B;762-28-Ag-192_B
Pryntex-06-Ag-30_B;Botlek-08-Ag-24_B;762-28-Ag-194_B
Pryntex-06-Ag-31_B;Botlek-08-Ag-25_B;762-28-Ag-195_B
Pryntex-06-Ag-32_B;Botlek-08-Ag-26_B;762-28-Ag-197_A
Pryntex-06-Ag-33_C;Botlek-08-Ag-27_B;762-28-Ag-21_A
Pryntex-06-Ag-34_D;Botlek-08-Ag-28_D;762-28-Ag-22_B
Pryntex-06-Ag-35_B;Botlek-08-Ag-29_B;762-28-Ag-23_D
Pryntex-06-Ag-36_B;Botlek-08-Ag-30_B;762-28-Ag-24_B
Pryntex-06-Ag-37_B;Botlek-08-Ag-31_D;762-28-Ag-26_B
Pryntex-06-Ag-38_B;Botlek-08-Ag-32_D;762-28-Ag-27_B
Pryntex-06-Ag-39_B;Botlek-08-Ag-33_B;762-28-Ag-28_B
Pryntex-06-Ag-40_B;Botlek-08-Ag-34_B;762-28-Ag-29_B
Pryntex-06-Ag-41_B;Botlek-08-Ag-35_B;762-28-Ag-3_B
Pryntex-06-Ag-42_B;Botlek-08-Ag-36_B;762-28-Ag-30_B
Pryntex-06-Ag-43_B;Botlek-08-Ag-37_B;762-28-Ag-31_D
Pryntex-06-Ag-44_B;Botlek-08-Ag-38_C;762-28-Ag-33_B
Pryntex-06-Ag-45_B;Botlek-08-Ag-39_C;762-28-Ag-34_A
Pryntex-06-Ag-46_B;Botlek-08-Ag-4_B;762-28-Ag-35_A
Pryntex-06-Ag-47_B;Botlek-08-Ag-41_B;762-28-Ag-36_B
Pryntex-06-Ag-48_B;Botlek-08-Ag-42_B;762-28-Ag-37_B
Pryntex-06-Ag-49_B;Botlek-08-Ag-43_B;762-28-Ag-38_A
Pryntex-06-Ag-50_B;Botlek-08-Ag-45_B;762-28-Ag-39_D
Pryntex-07-Ag-01_B;Botlek-08-Ag-5_B;762-28-Ag-4_D
Pryntex-07-Ag-02_B;Botlek-08-Ag-6_C;762-28-Ag-40_B
Pryntex-07-Ag-03_B;Botlek-08-Ag-7_C;762-28-Ag-41_B
Pryntex-07-Ag-04_B;Botlek-08-Ag-8_D;762-28-Ag-42_B
Pryntex-07-Ag-05_B;Botlek-08-Ag-9_B;762-28-Ag-43_B
Pryntex-07-Ag-06_B;Botlek-09-Ag-10_D;762-28-Ag-44_B
Pryntex-07-Ag-07_B;Botlek-09-Ag-11_B;762-28-Ag-45_A
Pryntex-07-Ag-08_B;Botlek-09-Ag-12_C;762-28-Ag-46_B
Pryntex-07-Ag-09_C;Botlek-09-Ag-13_D;762-28-Ag-47_D
Pryntex-07-Ag-10_B;Botlek-09-Ag-14_B;762-28-Ag-48_B
